US Dollar,1.00 USD,inv. 1.00 USD,scrape_utc
Argentine Peso,1357.504276,0.000737,2025-09-29T21:15:56.956777+00:00
Australian Dollar,1.520329,0.657752,2025-09-29T21:15:56.956777+00:00
Bahraini Dinar,0.376000,2.659574,2025-09-29T21:15:56.956777+00:00
Botswana Pula,14.003975,0.071408,2025-09-29T21:15:56.956777+00:00
Brazilian Real,5.320463,0.187954,2025-09-29T21:15:56.956777+00:00
Bruneian Dollar,1.290018,0.775183,2025-09-29T21:15:56.956777+00:00
Bulgarian Lev,1.667824,0.599584,2025-09-29T21:15:56.956777+00:00
Canadian Dollar,1.391440,0.718680,2025-09-29T21:15:56.956777+00:00
Chilean Peso,965.515348,0.001036,2025-09-29T21:15:56.956777+00:00
Chinese Yuan Renminbi,7.119804,0.140453,2025-09-29T21:15:56.956777+00:00
Colombian Peso,3921.976060,0.000255,2025-09-29T21:15:56.956777+00:00
Czech Koruna,20.717115,0.048269,2025-09-29T21:15:56.956777+00:00
Danish Krone,6.365068,0.157108,2025-09-29T21:15:56.956777+00:00
Euro,0.852745,1.172683,2025-09-29T21:15:56.956777+00:00
Hong Kong Dollar,7.783376,0.128479,2025-09-29T21:15:56.956777+00:00
Hungarian Forint,333.748742,0.002996,2025-09-29T21:15:56.956777+00:00
Icelandic Krona,120.920570,0.008270,2025-09-29T21:15:56.956777+00:00
Indian Rupee,88.728588,0.011270,2025-09-29T21:15:56.956777+00:00
Indonesian Rupiah,16660.107654,0.000060,2025-09-29T21:15:56.956777+00:00
Iranian Rial,42033.972284,0.000024,2025-09-29T21:15:56.956777+00:00
Israeli Shekel,3.305129,0.302560,2025-09-29T21:15:56.956777+00:00
Japanese Yen,148.651629,0.006727,2025-09-29T21:15:56.956777+00:00
Kazakhstani Tenge,548.539045,0.001823,2025-09-29T21:15:56.956777+00:00
South Korean Won,1399.018951,0.000715,2025-09-29T21:15:56.956777+00:00
Kuwaiti Dinar,0.305530,3.273005,2025-09-29T21:15:56.956777+00:00
Libyan Dinar,5.410285,0.184833,2025-09-29T21:15:56.956777+00:00
Malaysian Ringgit,4.215114,0.237241,2025-09-29T21:15:56.956777+00:00
Mauritian Rupee,45.582954,0.021938,2025-09-29T21:15:56.956777+00:00
Mexican Peso,18.375033,0.054422,2025-09-29T21:15:56.956777+00:00
Nepalese Rupee,142.032287,0.007041,2025-09-29T21:15:56.956777+00:00
New Zealand Dollar,1.729243,0.578288,2025-09-29T21:15:56.956777+00:00
Norwegian Krone,9.980402,0.100196,2025-09-29T21:15:56.956777+00:00
Omani Rial,0.384986,2.597495,2025-09-29T21:15:56.956777+00:00
Pakistani Rupee,282.280135,0.003543,2025-09-29T21:15:56.956777+00:00
Philippine Peso,58.088685,0.017215,2025-09-29T21:15:56.956777+00:00
Polish Zloty,3.640583,0.274681,2025-09-29T21:15:56.956777+00:00
Qatari Riyal,3.640000,0.274725,2025-09-29T21:15:56.956777+00:00
Romanian New Leu,4.331897,0.230846,2025-09-29T21:15:56.956777+00:00
Russian Ruble,83.099844,0.012034,2025-09-29T21:15:56.956777+00:00
Saudi Arabian Riyal,3.750000,0.266667,2025-09-29T21:15:56.956777+00:00
Singapore Dollar,1.290018,0.775183,2025-09-29T21:15:56.956777+00:00
South African Rand,17.275825,0.057884,2025-09-29T21:15:56.956777+00:00
Sri Lankan Rupee,302.727605,0.003303,2025-09-29T21:15:56.956777+00:00
Swedish Krona,9.421035,0.106145,2025-09-29T21:15:56.956777+00:00
Swiss Franc,0.797381,1.254105,2025-09-29T21:15:56.956777+00:00
Taiwan New Dollar,30.482100,0.032806,2025-09-29T21:15:56.956777+00:00
Thai Baht,32.227993,0.031029,2025-09-29T21:15:56.956777+00:00
Trinidadian Dollar,6.782752,0.147433,2025-09-29T21:15:56.956777+00:00
Turkish Lira,41.584708,0.024047,2025-09-29T21:15:56.956777+00:00
Emirati Dirham,3.672500,0.272294,2025-09-29T21:15:56.956777+00:00
British Pound,0.744626,1.342957,2025-09-29T21:15:56.956777+00:00
